start_time,finish_time,experiment_item,parameter_configuration_number,parameter_configuration_file_name,stl_requirement,runaway_min_robustness,runaway_max_robustness,runaway_average_robustness,runaway_cumulative_robustness,boundary_min_robustness,boundary_max_robustness,boundary_average_robustness,boundary_cumulative_robustness,average_robustness_sum,avg_resolution_time,avg_cycle_time,resolution_time_percentage,max_runaway_requirement_weakening_parameter,min_runaway_requirement_weakening_parameter,average_runaway_requirement_weakening_parameter,cumulative_runaway_requirement_weakening_parameter,max_boundary_requirement_weakening_parameter,min_boundary_requirement_weakening_parameter,average_boundary_requirement_weakening_parameter,cumulative_boundary_requirement_weakening_parameter,total_resolution_count,resolution_success_count,resolution_failure_count,resolution_success_percentage,runaway_activated_count,boundary_activated_count,follower_caught_ego_count,mission_waypoints_completed_count,EGO_AVOID_SPEED,EGO_BOUND_ENFORCER_SPEED,EGO_DRONE_MAX_SPEED,FOLLOWER_DRONE_MAX_SPEED,EGO_DRONE_START_LOCATION_NORTH,EGO_DRONE_START_LOCATION_EAST,RESOLVER,MAX_EGO_DRONE_CYCLE,STL_BOUNDARY_ORIGINAL_REQUIREMENT_FILE_PATH,STL_RUNAWAY_ORIGINAL_REQUIREMENT_FILE_PATH,MAIN_STL_FILE_FOR_RESOLVER,STL_BOUNDARY_REQUIREMENT_SIGNAL_LENGTH,STL_RUNAWAY_REQUIREMENT_SIGNAL_LENGTH
09-26-2022_05-09-17,09-26-2022_05-11-13,PRIORITY - RUNAWAY,1,experiments/config/bound_run/randomized_config/config_51.ini,,-10,63,5.557788945,1106,-36,15,-2.417085427,-481,3.140703518,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,75,61,26,2,10,9,3,8,-5,-13,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_06-08-20,09-26-2022_06-10-16,PRIORITY - RUNAWAY,9,experiments/config/bound_run/randomized_config/config_59.ini,,-7,61,8.909547739,1773,-23,17,1.728643216,344,10.63819095,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,58,43,13,1,14,9,2,4,3,0,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_06-12-59,09-26-2022_06-14-55,PRIORITY - RUNAWAY,0,experiments/config/bound_run/randomized_config/config_60.ini,,-9,33,9.246231156,1840,-19,17,0.085427136,17,9.331658291,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,41,66,15,8,14,9,8,13,-3,7,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_06-25-25,09-26-2022_06-27-20,PRIORITY - RUNAWAY,2,experiments/config/bound_run/randomized_config/config_62.ini,,-10,33,5.969849246,1188,-16,15,1,199,6.969849246,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,52,60,28,5,12,9,6,11,13,-4,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_07-55-57,09-26-2022_07-57-54,PRIORITY - BOUNDARY,6,experiments/config/bound_run/randomized_config/config_76.ini,,-10,50,3.884422111,773,-14,19,3.065326633,610,6.949748744,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,52,62,29,2,10,9,3,8,-5,-13,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_08-00-45,09-26-2022_08-02-43,PRIORITY - BOUNDARY,7,experiments/config/bound_run/randomized_config/config_77.ini,,-9,57,3.477386935,692,-8,18,4.145728643,825,7.623115578,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,68,51,29,2,7,9,4,6,20,-9,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_08-13-19,09-26-2022_08-15-16,PRIORITY - BOUNDARY,9,experiments/config/bound_run/randomized_config/config_79.ini,,-9,38,11.01507538,2192,-9,17,2.27638191,453,13.29145729,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,32,76,24,9,14,9,9,11,0,-19,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_08-25-48,09-26-2022_08-27-45,PRIORITY - BOUNDARY,1,experiments/config/bound_run/randomized_config/config_81.ini,,-9,52,6.030150754,1200,-15,18,3.477386935,692,9.507537688,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,45,52,22,5,13,9,3,5,-1,5,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_15-43-36,09-26-2022_15-45-33,WEAKENING - PRIORITY - RUNAWAY,1,experiments/config/bound_run/randomized_config/config_101.ini,,44,97,71.23232323,14104,8,20,12.42424242,2460,83.65656566,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,0,36,0,7,10,9,3,8,-5,-13,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_eventually_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_eventually_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound_eventually.stl,3,3
09-26-2022_20-12-56,09-26-2022_20-15-03,WEAKENING - PRIORITY - RUNAWAY,2,experiments/config/bound_run/randomized_config/config_102.ini,,-8,58,4.126262626,817,-20,27,10.03535354,1987,14.16161616,0.33803125,0.9199375,36.74502344,6.074543145,0,1.584175428,23.76263143,8.186103917,0,1.671640399,25.07460599,32,15,17,46.875,68,42,33,4,7,9,4,6,20,-9,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_eventually_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_eventually_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound_eventually.stl,3,3
09-27-2022_00-22-51,09-27-2022_00-24-51,WEAKENING - PRIORITY - BOUNDARY,8,experiments/config/bound_run/randomized_config/config_128.ini,,-6,58,7.848484848,1554,-6,28,12.95959596,2566,20.80808081,0.338615385,0.912769231,37.09758975,5.626129974,0,1.410125628,9.870879394,0.267972329,0,0.038281761,0.267972329,13,7,6,53.84615385,47,56,24,6,8,9,6,7,-7,17,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_eventually_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_eventually_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound_eventually.stl,3,3
09-27-2022_02-00-55,09-27-2022_02-02-57,WEAKENING - PRIORITY - BOUNDARY,1,experiments/config/bound_run/randomized_config/config_141.ini,,-6,79,13.43939394,2661,3,24,14.18181818,2808,27.62121212,0.400181818,0.973636364,41.10177404,4.910598504,-3.14E-12,1.15290059,12.68190649,0,0,0,0,11,11,0,100,66,12,13,1,4,9,1,2,5,-10,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_eventually_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_eventually_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound_eventually.stl,3,3
09-27-2022_04-49-19,09-27-2022_04-51-18,PRIORITY - RUNAWAY,3,experiments/config/bound_run/randomized_config/config_163.ini,,-8,51,4.126262626,817,-38,28,5.949494949,1178,10.07575758,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,86,56,22,1,9,9,3,7,9,-12,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_eventually_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_eventually_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound_eventually.stl,3,3
09-27-2022_05-25-13,09-27-2022_05-27-09,PRIORITY - RUNAWAY,8,experiments/config/bound_run/randomized_config/config_168.ini,,-5,40,9.01010101,1784,-5,27,11.4040404,2258,20.41414141,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,44,69,25,5,12,9,8,11,-5,-15,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_eventually_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_eventually_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound_eventually.stl,3,3
09-27-2022_06-18-10,09-27-2022_06-20-06,PRIORITY - BOUNDARY,6,experiments/config/bound_run/randomized_config/config_176.ini,,-8,50,3.909090909,774,2,26,13.34343434,2642,17.25252525,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,60,53,30,1,10,9,3,8,-5,-13,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_eventually_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_eventually_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound_eventually.stl,3,3
09-27-2022_07-25-16,09-27-2022_07-27-12,PRIORITY - BOUNDARY,5,experiments/config/bound_run/randomized_config/config_185.ini,,-6,34,8.828282828,1748,-1,29,12.64646465,2504,21.47474747,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,23,69,25,8,14,9,8,13,-3,7,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_eventually_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_eventually_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound_eventually.stl,3,3
