start_time,finish_time,experiment_item,parameter_configuration_number,parameter_configuration_file_name,stl_requirement,runaway_min_robustness,runaway_max_robustness,runaway_average_robustness,runaway_cumulative_robustness,boundary_min_robustness,boundary_max_robustness,boundary_average_robustness,boundary_cumulative_robustness,average_robustness_sum,avg_resolution_time,avg_cycle_time,resolution_time_percentage,max_runaway_requirement_weakening_parameter,min_runaway_requirement_weakening_parameter,average_runaway_requirement_weakening_parameter,cumulative_runaway_requirement_weakening_parameter,max_boundary_requirement_weakening_parameter,min_boundary_requirement_weakening_parameter,average_boundary_requirement_weakening_parameter,cumulative_boundary_requirement_weakening_parameter,total_resolution_count,resolution_success_count,resolution_failure_count,resolution_success_percentage,runaway_activated_count,boundary_activated_count,follower_caught_ego_count,mission_waypoints_completed_count,EGO_AVOID_SPEED,EGO_BOUND_ENFORCER_SPEED,EGO_DRONE_MAX_SPEED,FOLLOWER_DRONE_MAX_SPEED,EGO_DRONE_START_LOCATION_NORTH,EGO_DRONE_START_LOCATION_EAST,RESOLVER,MAX_EGO_DRONE_CYCLE,STL_BOUNDARY_ORIGINAL_REQUIREMENT_FILE_PATH,STL_RUNAWAY_ORIGINAL_REQUIREMENT_FILE_PATH,MAIN_STL_FILE_FOR_RESOLVER,STL_BOUNDARY_REQUIREMENT_SIGNAL_LENGTH,STL_RUNAWAY_REQUIREMENT_SIGNAL_LENGTH
09-27-2022_16-43-03,09-27-2022_16-45-04,WEAKENING - PRIORITY - BOUNDARY,6,experiments/config/bound_run/randomized_config/config_36.ini,,-9,41,9.979899497,1986,-20,17,0.522613065,104,10.50251256,0.273823529,0.842705882,32.4933687,5.027246381,0,1.696321996,23.74850794,12.26296994,0,2.236023552,31.30432973,17,14,3,82.35294118,25,80,37,5,14,9,11,12,-16,-15,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_16-47-20,09-27-2022_16-49-18,WEAKENING - PRIORITY - BOUNDARY,7,experiments/config/bound_run/randomized_config/config_37.ini,,-8,33,6.015075377,1197,-8,18,4.467336683,889,10.48241206,0.258428571,0.830857143,31.10385144,3.104082506,0,0.961036708,3.844146831,1.188897993,0,0.297224498,1.188897993,7,4,3,57.14285714,48,45,37,4,12,9,6,11,13,-4,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_16-51-36,09-27-2022_16-53-38,WEAKENING - PRIORITY - BOUNDARY,8,experiments/config/bound_run/randomized_config/config_38.ini,,-9,52,3.542713568,705,-23,19,3.095477387,616,6.638190955,0.271,0.840941176,32.22579743,6.083121092,0,3.391742518,37.3091677,6.377606641,0,2.739688427,30.13657269,17,11,6,64.70588235,64,44,37,1,9,9,3,7,9,-12,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_19-11-05,09-27-2022_19-13-07,WEAKENING - PRIORITY - BOUNDARY,9,experiments/config/bound_run/randomized_config/config_39.ini,,-9,72,5.507537688,1096,-12,18,3.949748744,786,9.457286432,0.3450625,0.912,37.83580044,5.082037447,0,2.269568649,36.31309838,7.859311548,0,1.987882073,31.80611318,16,16,0,100,61,25,31,2,8,9,3,4,10,-14,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_19-15-20,09-27-2022_19-17-20,WEAKENING - PRIORITY - BOUNDARY,0,experiments/config/bound_run/randomized_config/config_40.ini,,-9,70,6.653266332,1324,-12,18,3.653266332,727,10.30653266,0.290363636,0.856545455,33.89938442,3.866531906,0,1.942046918,17.47842226,8.618172823,0,2.536472566,22.8282531,11,9,2,81.81818182,63,31,30,1,8,9,2,4,4,-15,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_19-19-31,09-27-2022_19-21-30,WEAKENING - PRIORITY - BOUNDARY,1,experiments/config/bound_run/randomized_config/config_41.ini,,-8,76,12.98492462,2584,-10,16,3.959798995,788,16.94472362,0.2975,0.867375,34.29889033,6.808891265,0,1.868653793,14.94923034,6.209592299,0,1.395175571,11.16140456,8,8,0,100,69,13,25,1,4,9,1,2,5,-10,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_04-11-15,09-26-2022_04-13-22,WEAKENING - PRIORITY - BOUNDARY,2,experiments/config/bound_run/randomized_config/config_42.ini,,-9,32,2.75879397,549,-26,17,-0.663316583,-132,2.095477387,0.282,0.856051282,32.94195172,5.57076335,0,3.056324251,88.63340329,15.6104996,0,4.037718605,117.0938396,39,29,10,74.35897436,42,60,24,4,10,9,4,9,11,19,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_19-23-43,09-27-2022_19-25-44,WEAKENING - PRIORITY - BOUNDARY,3,experiments/config/bound_run/randomized_config/config_43.ini,,-10,41,7.251256281,1443,-21,16,1.281407035,255,8.532663316,0.258111111,0.830166667,31.09148096,4.5701313,0,2.62257839,36.71609746,13.48573142,0,2.426826577,33.97557208,18,14,4,77.77777778,33,66,40,6,12,9,8,11,-5,-15,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_04-23-51,09-26-2022_04-25-56,WEAKENING - PRIORITY - BOUNDARY,4,experiments/config/bound_run/randomized_config/config_44.ini,,-8,56,5.814070352,1157,-19,17,3.793969849,755,9.608040201,0.351714286,0.928428571,37.88275119,7.303255641,0,3.19416594,63.88331879,15.068856,0,3.686145597,73.72291193,21,20,1,95.23809524,64,31,21,2,6,9,2,4,0,11,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_19-34-37,09-27-2022_19-37-03,WEAKENING - PRIORITY - BOUNDARY,6,experiments/config/bound_run/randomized_config/config_46.ini,,-9,76,6.331658291,1260,-6,18,1.251256281,249,7.582914572,0.375407895,0.951736842,39.44450589,6.863452047,1.980045588,6.453551291,451.7485903,5.34420768,0,4.332359593,303.2651715,76,70,6,92.10526316,42,30,38,1,5,9,1,3,-5,-15,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
