start_time,finish_time,experiment_item,parameter_configuration_number,parameter_configuration_file_name,stl_requirement,runaway_min_robustness_overall,runaway_max_robustness_overall,runaway_average_robustness_overall,runaway_cumulative_robustness_overall,runaway_min_robustness_feature_interaction,runaway_max_robustness_feature_interaction,runaway_average_robustness_feature_interaction,runaway_cumulative_robustness_feature_interaction,boundary_min_robustness_overall,boundary_max_robustness_overall,boundary_average_robustness_overall,boundary_cumulative_robustness_overall,boundary_min_robustness_feature_interaction,boundary_max_robustness_feature_interaction,boundary_average_robustness_feature_interaction,boundary_cumulative_robustness_feature_interaction,avg_resolution_time,avg_cycle_time,resolution_time_percentage,max_runaway_requirement_weakening_parameter,min_runaway_requirement_weakening_parameter,average_runaway_requirement_weakening_parameter,cumulative_runaway_requirement_weakening_parameter,max_boundary_requirement_weakening_parameter,min_boundary_requirement_weakening_parameter,average_boundary_requirement_weakening_parameter,cumulative_boundary_requirement_weakening_parameter,total_resolution_count,resolution_success_count,resolution_failure_count,resolution_success_percentage,runaway_activated_count,boundary_activated_count,follower_caught_ego_count,mission_waypoints_completed_count,EGO_AVOID_SPEED,EGO_BOUND_ENFORCER_SPEED,EGO_DRONE_MAX_SPEED,FOLLOWER_DRONE_MAX_SPEED,EGO_DRONE_START_LOCATION_NORTH,EGO_DRONE_START_LOCATION_EAST,RESOLVER,MAX_EGO_DRONE_CYCLE,STL_BOUNDARY_ORIGINAL_REQUIREMENT_FILE_PATH,STL_RUNAWAY_ORIGINAL_REQUIREMENT_FILE_PATH,MAIN_STL_FILE_FOR_RESOLVER,STL_BOUNDARY_REQUIREMENT_SIGNAL_LENGTH,STL_RUNAWAY_REQUIREMENT_SIGNAL_LENGTH,boundary_activation_robustness_average,boundary_activation_robustness_cumulative,boundary_activation_robustness_min,boundary_activation_robustness_max,runaway_activation_robustness_average,runaway_activation_robustness_cumulative,runaway_activation_robustness_min,runaway_activation_robustness_max
10-02-2022_12-39-36,10-02-2022_12-41-33,PRIORITY - RUNAWAY,59,experiments/config/bound_run/randomized_config/config_59.ini,,-8,46,5.879396985,1170,-8,-1,-3.904761905,-82,-25,19,1.738693467,346,-20,-1,-6.523809524,-137,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,65,53,23,1,14,9,2,4,3,0,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-8.087719298,-461,-25,6,1.245614035,71,-8,10
10-02-2022_13-10-36,10-02-2022_13-12-32,PRIORITY - RUNAWAY,60,experiments/config/bound_run/randomized_config/config_60.ini,,-9,46,8.281407035,1648,-9,-1,-4.85,-97,-16,19,0.783919598,156,-15,-1,-4.65,-93,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,42,64,17,6,14,9,8,13,-3,7,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-5.5,-275,-16,2,2.82,141,-9,20
10-02-2022_13-15-31,10-02-2022_13-17-27,PRIORITY - RUNAWAY,61,experiments/config/bound_run/randomized_config/config_61.ini,,-9,29,7.673366834,1527,-9,-1,-4.28,-107,-20,13,-1.738693467,-346,-16,-1,-6.64,-166,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,42,86,6,3,14,9,11,12,-16,-15,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-6.444444444,-406,-20,2,3.222222222,203,-9,25
10-02-2022_13-21-15,10-02-2022_13-23-10,PRIORITY - RUNAWAY,62,experiments/config/bound_run/randomized_config/config_62.ini,,-9,46,2.035175879,405,-9,-1,-3.518072289,-292,-156,19,-44.16080402,-8788,-156,-1,-58.68674699,-4871,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,105,67,18,1,12,9,6,11,13,-4,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-65.20143885,-9063,-156,0,-0.129496403,-18,-9,18
10-02-2022_13-27-14,10-02-2022_13-29-09,PRIORITY - RUNAWAY,63,experiments/config/bound_run/randomized_config/config_63.ini,,-9,51,2.698492462,537,-9,-1,-4.307692308,-224,-65,19,-13.64321608,-2715,-57,-1,-23.94230769,-1245,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,90,71,20,2,9,9,3,7,9,-12,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-26.70940171,-3125,-65,2,0.606837607,71,-9,14
10-02-2022_13-43-40,10-02-2022_13-45-36,PRIORITY - RUNAWAY,64,experiments/config/bound_run/randomized_config/config_64.ini,,-9,57,4.216080402,839,-7,-1,-4,-84,-31,17,0.27638191,55,-29,-1,-12.80952381,-269,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,77,42,23,2,8,9,3,4,10,-14,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-12.25,-637,-31,2,-0.057692308,-3,-8,11
10-03-2022_21-21-06,10-03-2022_21-23-04,PRIORITY - RUNAWAY,65,experiments/config/bound_run/randomized_config/config_65.ini,"",-9.0,54.0,4.613065326633166,918.0,-9.0,-1.0,-4.071428571428571,-114.0,-22.0,13.0,0.49748743718592964,99.0,-20.0,-1.0,-7.0,-196.0,NaN,NaN,NaN,-99999.0,99999.0,NaN,0.0,-99999.0,99999.0,NaN,0.0,0,0,0,0.0,77,40,29,3,8.0,9.0,2.0,4.0,4.0,-15.0,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-7.763636364,-427,-22,3,-1.181818182,-65,-9,8
10-02-2022_14-03-29,10-02-2022_14-05-26,PRIORITY - RUNAWAY,66,experiments/config/bound_run/randomized_config/config_66.ini,,-9,54,8.075376884,1607,-9,-1,-3.473684211,-66,-11,12,2.331658291,464,-7,-1,-2.526315789,-48,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,81,26,5,1,4,9,1,2,5,-10,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-1.847826087,-85,-11,8,-2.02173913,-93,-9,4
10-01-2022_19-45-43,10-01-2022_19-47-39,PRIORITY - RUNAWAY,67,experiments/config/bound_run/randomized_config/config_67.ini,,-9,29,0.688442211,137,-9,-1,-3.684931507,-269,-100,16,-29.06532663,-5784,-92,-1,-39.4109589,-2877,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,102,71,6,1,10,9,4,9,11,19,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-44.89781022,-6151,-100,-1,-0.321167883,-44,-9,17
10-02-2022_14-07-30,10-02-2022_14-09-25,PRIORITY - RUNAWAY,68,experiments/config/bound_run/randomized_config/config_68.ini,,-9,41,1.663316583,331,-9,-1,-3.337349398,-277,-153,18,-52.13567839,-10375,-153,-1,-62.90361446,-5221,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,105,73,16,2,12,9,8,11,-5,-15,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2,-68.03225806,-10545,-153,17,0.651612903,101,-9,20
