start_time,finish_time,experiment_item,parameter_configuration_number,parameter_configuration_file_name,stl_requirement,runaway_min_robustness,runaway_max_robustness,runaway_average_robustness,runaway_cumulative_robustness,boundary_min_robustness,boundary_max_robustness,boundary_average_robustness,boundary_cumulative_robustness,avg_resolution_time,avg_cycle_time,resolution_time_percentage,max_runaway_requirement_weakening_parameter,min_runaway_requirement_weakening_parameter,average_runaway_requirement_weakening_parameter,cumulative_runaway_requirement_weakening_parameter,max_boundary_requirement_weakening_parameter,min_boundary_requirement_weakening_parameter,average_boundary_requirement_weakening_parameter,cumulative_boundary_requirement_weakening_parameter,total_resolution_count,resolution_success_count,resolution_failure_count,resolution_success_percentage,runaway_activated_count,boundary_activated_count,follower_caught_ego_count,mission_waypoints_completed_count,EGO_AVOID_SPEED,EGO_BOUND_ENFORCER_SPEED,EGO_DRONE_MAX_SPEED,FOLLOWER_DRONE_MAX_SPEED,EGO_DRONE_START_LOCATION_NORTH,EGO_DRONE_START_LOCATION_EAST,RESOLVER,MAX_EGO_DRONE_CYCLE,STL_BOUNDARY_ORIGINAL_REQUIREMENT_FILE_PATH,STL_RUNAWAY_ORIGINAL_REQUIREMENT_FILE_PATH,MAIN_STL_FILE_FOR_RESOLVER,STL_BOUNDARY_REQUIREMENT_SIGNAL_LENGTH,STL_RUNAWAY_REQUIREMENT_SIGNAL_LENGTH
09-28-2022_23-28-55,09-28-2022_23-30-56,WEAKENING - PRIORITY - RUNAWAY,5,experiments/config/bound_run/randomized_config_starting_position_only/config_15.ini,,-9,68,4.045226131,805,-13,18,2.718592965,541,0.349571429,0.923214286,37.86460348,5.360882688,0,1.891006137,24.58307978,10.11115106,0,2.189027778,28.45736111,14,13,1,92.85714286,70,37,30,2,9,9,3,5,6,-20,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_05-45-36,09-28-2022_05-47-35,WEAKENING - PRIORITY - RUNAWAY,6,experiments/config/bound_run/randomized_config_starting_position_only/config_16.ini,,-9,50,6.306532663,1255,-20,18,3.487437186,694,0.279230769,0.843615385,33.09929789,4.463236697,0.14900333,2.600930077,26.00930077,13.80266423,0,2.874251788,28.74251788,13,10,3,76.92307692,50,34,30,4,9,9,3,5,-6,12,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_23-39-03,09-28-2022_23-41-07,WEAKENING - PRIORITY - RUNAWAY,8,experiments/config/bound_run/randomized_config_starting_position_only/config_18.ini,,-9,58,5.989949749,1192,-20,17,3.743718593,745,0.379105263,0.948631579,39.96338216,5.787668864,0,3.382913985,64.27536572,10.46337752,0,2.606709697,49.52748424,19,19,0,100,48,29,19,3,9,9,3,5,17,3,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_23-55-05,09-28-2022_23-57-12,WEAKENING - PRIORITY - RUNAWAY,1,experiments/config/bound_run/randomized_config_starting_position_only/config_21.ini,,-9,47,5.72361809,1139,-24,18,1.060301508,211,0.321733333,0.894766667,35.9572328,5.727694113,0,2.62446185,76.10939365,16.6177197,0,5.333801863,154.680254,30,29,1,96.66666667,39,44,10,3,9,9,3,5,0,20,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_07-06-40,09-28-2022_07-08-43,WEAKENING - PRIORITY - BOUNDARY,0,experiments/config/bound_run/randomized_config_starting_position_only/config_30.ini,,-8,78,7.216080402,1436,-20,17,1.899497487,378,0.336,0.914777778,36.73023199,5.813002826,0,2.653063042,47.75513475,16.8851871,0,6.066039967,109.1887194,18,18,0,100,56,38,28,1,9,9,3,5,-14,-15,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_07-10-49,09-28-2022_07-12-54,WEAKENING - PRIORITY - BOUNDARY,1,experiments/config/bound_run/randomized_config_starting_position_only/config_31.ini,,-9,51,4.939698492,983,-18,19,2.964824121,590,0.291322581,0.852870968,34.15787284,3.801830709,0,1.72685172,48.35184815,11.02393995,0,2.724339614,76.2815092,31,28,3,90.32258065,48,36,26,2,9,9,3,5,-5,10,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_07-26-50,09-28-2022_07-28-51,WEAKENING - PRIORITY - BOUNDARY,4,experiments/config/bound_run/randomized_config_starting_position_only/config_34.ini,,-9,55,5.361809045,1067,-23,18,2.924623116,582,0.3075,0.872722222,35.2345789,5.561562096,0,2.260187512,36.16300019,14.03095701,0,3.171738691,50.74781906,18,16,2,88.88888889,56,46,13,1,9,9,3,5,2,0,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_07-36-51,09-28-2022_07-38-53,WEAKENING - PRIORITY - BOUNDARY,6,experiments/config/bound_run/randomized_config_starting_position_only/config_36.ini,,-9,66,6.432160804,1280,-32,16,-0.648241206,-129,0.24664,0.81556,30.24179705,6.000830316,0,2.373876261,45.10364897,16.86108209,0,5.301423235,100.7270415,25,19,6,76,40,56,29,6,9,9,3,5,-3,-20,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_07-52-51,09-28-2022_07-54-51,WEAKENING - PRIORITY - BOUNDARY,9,experiments/config/bound_run/randomized_config_starting_position_only/config_39.ini,,-9,60,6.015075377,1197,-16,16,3.547738693,706,0.323266667,0.8896,36.33842926,5.663184883,0,2.559588279,38.39382418,12.73314234,0,2.599093141,38.98639711,15,15,0,100,53,37,32,2,9,9,3,5,-10,-6,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_08-02-52,09-28-2022_08-04-54,WEAKENING - PRIORITY - BOUNDARY,1,experiments/config/bound_run/randomized_config_starting_position_only/config_41.ini,,-9,49,5.432160804,1081,-20,17,2.547738693,507,0.308470588,0.885764706,34.82534201,5.267951914,0,2.092226961,35.56785834,16.78397424,0,2.83867497,48.25747449,17,17,0,100,53,40,33,1,9,9,3,5,-6,12,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_08-24-48,09-28-2022_08-26-48,WEAKENING - PRIORITY - BOUNDARY,5,experiments/config/bound_run/randomized_config_starting_position_only/config_45.ini,,-9,66,5.386934673,1072,-16,16,3.51758794,700,0.254785714,0.832428571,30.60751673,4.42235669,0,1.589729971,20.66648962,11.40385874,0,2.191531483,28.48990928,14,13,1,92.85714286,58,41,33,1,9,9,3,5,12,-18,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
209-28-2022_21-04-37,09-28-2022_21-06-38,WEAKENING - PRIORITY - RUNAWAY,1,experiments/config/bound_run/randomized_config_starting_position_only/config_1.ini,,-9,60,7.190954774,1431,-18,18,4.391959799,874,0.298285714,0.87,34.28571429,5.112648588,0,2.42943011,29.15316132,3.896416625,0,0.905264869,10.86317843,14,12,2,85.71428571,59,28,34,2,9,9,3,5,-12,17,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_08-34-52,09-28-2022_08-37-18,WEAKENING - PRIORITY - BOUNDARY,7,experiments/config/bound_run/randomized_config_starting_position_only/config_47.ini,,-9,221,16.3718593,3258,-178,17,-6.663316583,-1326,0.309,0.87865,35.16758664,5.046819056,0,2.060438468,39.14833089,11.93360127,0,4.324373292,82.16309254,20,19,1,95,45,51,12,1,9,9,3,5,-9,-7,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_00-58-27,09-29-2022_01-00-29,WEAKENING - PRIORITY - BOUNDARY,5,experiments/config/bound_run/randomized_config_starting_position_only/config_35.ini,,-9,53,5.447236181,1084,-20,17,2.864321608,570,0.324176471,0.896,36.18040966,4.778422996,0,2.381464329,35.72196494,13.13283677,0,4.512692483,67.69038724,17,15,2,88.23529412,54,39,30,1,9,9,3,5,-12,9,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_01-44-01,09-29-2022_01-46-03,WEAKENING - PRIORITY - BOUNDARY,6,experiments/config/bound_run/randomized_config_starting_position_only/config_46.ini,,-10,48,5.522613065,1099,-17,19,4.613065327,918,0.280428571,0.864142857,32.4516449,3.579385273,0,2.420284969,31.4637046,12.27999908,0,2.425456595,31.53093573,14,13,1,92.85714286,58,37,30,1,9,9,3,5,0,20,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_02-17-45,09-29-2022_02-19-43,PRIORITY - RUNAWAY,2,experiments/config/bound_run/randomized_config_starting_position_only/config_52.ini,,-8,59,6.557788945,1305,-12,18,3.075376884,612,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,64,39,30,3,9,9,3,5,13,-3,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_02-45-31,09-29-2022_02-47-27,PRIORITY - RUNAWAY,7,experiments/config/bound_run/randomized_config_starting_position_only/config_57.ini,,-9,63,5.798994975,1154,-31,19,-1.452261307,-289,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,75,62,28,1,9,9,3,5,3,-12,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_02-55-28,09-29-2022_02-57-25,PRIORITY - RUNAWAY,9,experiments/config/bound_run/randomized_config_starting_position_only/config_59.ini,,-9,56,5.824120603,1159,-22,17,-0.467336683,-93,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,73,50,28,2,9,9,3,5,2,0,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_02-59-30,09-29-2022_03-01-26,PRIORITY - RUNAWAY,0,experiments/config/bound_run/randomized_config_starting_position_only/config_60.ini,,-9,67,7.753768844,1543,-28,18,-0.708542714,-141,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,72,46,26,2,9,9,3,5,-12,9,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_03-09-27,09-29-2022_03-11-23,PRIORITY - RUNAWAY,2,experiments/config/bound_run/randomized_config_starting_position_only/config_62.ini,,-10,56,6.346733668,1263,-38,18,0.763819095,152,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,70,38,24,2,9,9,3,5,-6,-2,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_03-37-09,09-29-2022_03-39-06,PRIORITY - RUNAWAY,7,experiments/config/bound_run/randomized_config_starting_position_only/config_67.ini,,-10,52,5.427135678,1080,-23,18,0.849246231,169,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,72,38,28,3,9,9,3,5,3,7,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_03-53-05,09-29-2022_03-55-01,PRIORITY - RUNAWAY,0,experiments/config/bound_run/randomized_config_starting_position_only/config_70.ini,,-9,67,5.532663317,1101,-24,13,1.206030151,240,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,70,52,32,1,9,9,3,5,12,-18,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_04-38-35,09-29-2022_04-40-32,PRIORITY - BOUNDARY,8,experiments/config/bound_run/randomized_config_starting_position_only/config_78.ini,,-9,63,5.497487437,1094,-13,18,4.477386935,891,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,56,43,33,2,9,9,3,5,-4,-15,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_04-48-35,09-29-2022_04-50-31,PRIORITY - BOUNDARY,0,experiments/config/bound_run/randomized_config_starting_position_only/config_80.ini,,-9,66,6.653266332,1324,-10,19,6.306532663,1255,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,54,34,33,2,9,9,3,5,-14,-15,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_04-52-39,09-29-2022_04-54-35,PRIORITY - BOUNDARY,1,experiments/config/bound_run/randomized_config_starting_position_only/config_81.ini,,-9,52,5.949748744,1184,-12,18,5.492462312,1093,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,54,44,31,2,9,9,3,5,-5,10,PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
