start_time,finish_time,experiment_item,weak,method,parameter_configuration_number,parameter_configuration_file_name,stl_requirement,runaway_min_robustness,runaway_max_robustness,runaway_average_robustness,runaway_average_robustness_minus5,runaway_cumulative_robustness,boundary_min_robustness,boundary_max_robustness,boundary_average_robustness,boundary_cumulative_robustness,average_robustness_sum,average_robustness_sum_minus5,avg_resolution_time,avg_cycle_time,resolution_time_percentage,max_runaway_requirement_weakening_parameter,min_runaway_requirement_weakening_parameter,average_runaway_requirement_weakening_parameter,cumulative_runaway_requirement_weakening_parameter,max_boundary_requirement_weakening_parameter,min_boundary_requirement_weakening_parameter,average_boundary_requirement_weakening_parameter,cumulative_boundary_requirement_weakening_parameter,total_resolution_count,resolution_success_count,resolution_failure_count,resolution_success_percentage,runaway_activated_count,boundary_activated_count,follower_caught_ego_count,mission_waypoints_completed_count,EGO_AVOID_SPEED,EGO_BOUND_ENFORCER_SPEED,EGO_DRONE_MAX_SPEED,FOLLOWER_DRONE_MAX_SPEED,EGO_DRONE_START_LOCATION_NORTH,EGO_DRONE_START_LOCATION_EAST,RESOLVER,MAX_EGO_DRONE_CYCLE,STL_BOUNDARY_ORIGINAL_REQUIREMENT_FILE_PATH,STL_RUNAWAY_ORIGINAL_REQUIREMENT_FILE_PATH,MAIN_STL_FILE_FOR_RESOLVER,STL_BOUNDARY_REQUIREMENT_SIGNAL_LENGTH,STL_RUNAWAY_REQUIREMENT_SIGNAL_LENGTH
09-28-2022_07-36-51,09-28-2022_07-38-53,WEAKENING - PRIORITY - BOUNDARY,TRUE,weakening,6,experiments/config/bound_run/randomized_config_starting_position_only/config_36.ini,,-9,66,6.432160804,1.432160804,1280,-32,16,-0.648241206,-129,5.783919598,0.783919598,0.24664,0.81556,30.24179705,6.000830316,0,2.373876261,45.10364897,16.86108209,0,5.301423235,100.7270415,25,19,6,76,40,56,29,6,9,9,3,5,-3,-20,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_07-52-51,09-28-2022_07-54-51,WEAKENING - PRIORITY - BOUNDARY,TRUE,weakening,9,experiments/config/bound_run/randomized_config_starting_position_only/config_39.ini,,-9,60,6.015075377,1.015075377,1197,-16,16,3.547738693,706,9.56281407,4.56281407,0.323266667,0.8896,36.33842926,5.663184883,0,2.559588279,38.39382418,12.73314234,0,2.599093141,38.98639711,15,15,0,100,53,37,32,2,9,9,3,5,-10,-6,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_08-02-52,09-28-2022_08-04-54,WEAKENING - PRIORITY - BOUNDARY,TRUE,weakening,1,experiments/config/bound_run/randomized_config_starting_position_only/config_41.ini,,-9,49,5.432160804,0.432160804,1081,-20,17,2.547738693,507,7.979899497,2.979899497,0.308470588,0.885764706,34.82534201,5.267951914,0,2.092226961,35.56785834,16.78397424,0,2.83867497,48.25747449,17,17,0,100,53,40,33,1,9,9,3,5,-6,12,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-28-2022_08-24-48,09-28-2022_08-26-48,WEAKENING - PRIORITY - BOUNDARY,TRUE,weakening,5,experiments/config/bound_run/randomized_config_starting_position_only/config_45.ini,,-9,66,5.386934673,0.386934673,1072,-16,16,3.51758794,700,8.904522613,3.904522613,0.254785714,0.832428571,30.60751673,4.42235669,0,1.589729971,20.66648962,11.40385874,0,2.191531483,28.48990928,14,13,1,92.85714286,58,41,33,1,9,9,3,5,12,-18,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_00-58-27,09-29-2022_01-00-29,WEAKENING - PRIORITY - BOUNDARY,TRUE,weakening,5,experiments/config/bound_run/randomized_config_starting_position_only/config_35.ini,,-9,53,5.447236181,0.447236181,1084,-20,17,2.864321608,570,8.311557789,3.311557789,0.324176471,0.896,36.18040966,4.778422996,0,2.381464329,35.72196494,13.13283677,0,4.512692483,67.69038724,17,15,2,88.23529412,54,39,30,1,9,9,3,5,-12,9,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_02-17-45,09-29-2022_02-19-43,PRIORITY - RUNAWAY,FALSE,priority,2,experiments/config/bound_run/randomized_config_starting_position_only/config_52.ini,,-8,59,6.557788945,1.557788945,1305,-12,18,3.075376884,612,9.633165829,4.633165829,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,64,39,30,3,9,9,3,5,13,-3,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_02-45-31,09-29-2022_02-47-27,PRIORITY - RUNAWAY,FALSE,priority,7,experiments/config/bound_run/randomized_config_starting_position_only/config_57.ini,,-9,63,5.798994975,0.798994975,1154,-31,19,-1.452261307,-289,4.346733668,-0.653266332,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,75,62,28,1,9,9,3,5,3,-12,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_02-55-28,09-29-2022_02-57-25,PRIORITY - RUNAWAY,FALSE,priority,9,experiments/config/bound_run/randomized_config_starting_position_only/config_59.ini,,-9,56,5.824120603,0.824120603,1159,-22,17,-0.467336683,-93,5.35678392,0.35678392,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,73,50,28,2,9,9,3,5,2,0,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_02-59-30,09-29-2022_03-01-26,PRIORITY - RUNAWAY,FALSE,priority,0,experiments/config/bound_run/randomized_config_starting_position_only/config_60.ini,,-9,67,7.753768844,2.753768844,1543,-28,18,-0.708542714,-141,7.04522613,2.04522613,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,72,46,26,2,9,9,3,5,-12,9,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-29-2022_03-09-27,09-29-2022_03-11-23,PRIORITY - RUNAWAY,FALSE,priority,2,experiments/config/bound_run/randomized_config_starting_position_only/config_62.ini,,-10,56,6.346733668,1.346733668,1263,-38,18,0.763819095,152,7.110552763,2.110552763,NaN,NaN,NaN,-99999,99999,NaN,0,-99999,99999,NaN,0,0,0,0,0,70,38,24,2,9,9,3,5,-6,-2,PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
