start_time,finish_time,experiment_item,weak,method,parameter_configuration_number,parameter_configuration_file_name,stl_requirement,runaway_min_robustness,runaway_max_robustness,runaway_average_robustness,runaway_average_robustness_minus5,runaway_average_robustness_normalized,runaway_average_robustness_minus5_normalized,runaway_cumulative_robustness,boundary_min_robustness,boundary_max_robustness,boundary_average_robustness,boundary_average_robustness_normalized,boundary_cumulative_robustness,average_robustness_sum_normalized,average_robustness_sum,average_robustness_sum_minus5,average_robustness_sum_minus5_normalized,min_robustness_sum,avg_resolution_time,avg_cycle_time,resolution_time_percentage,max_runaway_requirement_weakening_parameter,min_runaway_requirement_weakening_parameter,average_runaway_requirement_weakening_parameter,cumulative_runaway_requirement_weakening_parameter,max_boundary_requirement_weakening_parameter,min_boundary_requirement_weakening_parameter,average_boundary_requirement_weakening_parameter,cumulative_boundary_requirement_weakening_parameter,total_resolution_count,resolution_success_count,resolution_failure_count,resolution_success_percentage,runaway_activated_count,boundary_activated_count,follower_caught_ego_count,mission_waypoints_completed_count,EGO_AVOID_SPEED,EGO_BOUND_ENFORCER_SPEED,EGO_DRONE_MAX_SPEED,FOLLOWER_DRONE_MAX_SPEED,EGO_DRONE_START_LOCATION_NORTH,EGO_DRONE_START_LOCATION_EAST,RESOLVER,MAX_EGO_DRONE_CYCLE,STL_BOUNDARY_ORIGINAL_REQUIREMENT_FILE_PATH,STL_RUNAWAY_ORIGINAL_REQUIREMENT_FILE_PATH,MAIN_STL_FILE_FOR_RESOLVER,STL_BOUNDARY_REQUIREMENT_SIGNAL_LENGTH,STL_RUNAWAY_REQUIREMENT_SIGNAL_LENGTH
09-27-2022_12-44-08,09-27-2022_12-47-40,WEAKENING - PRIORITY - RUNAWAY,TRUE,weakening,2,experiments/config/bound_run/randomized_config/config_12.ini,,-10,34,8.301507538,3.301507538,0.283551258,0.516627634,1652,-33,19,1.035175879,0.563856494,206,0.847407752,9.336683417,4.336683417,1.080484128,-43,0.218666667,0.802166667,27.25950551,4.860081802,0,2.30288025,20.72592225,9.547306212,0,1.28166709,11.53500381,18,9,9,50,31,53,17,8,12,9,6,11,13,-4,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_12-54-42,09-27-2022_12-56-46,WEAKENING - PRIORITY - RUNAWAY,TRUE,weakening,3,experiments/config/bound_run/randomized_config/config_13.ini,,-9,52,3.572864322,-1.427135678,0.205733116,0.07587822,711,-21,19,1.748743719,0.583276002,348,0.789009118,5.321608041,0.321608041,0.659154222,-30,0.286321429,0.857214286,33.40138322,7.018988672,0,2.905253992,72.6313498,15.31346059,0,4.361766698,109.0441675,28,25,3,89.28571429,54,47,36,2,9,9,3,7,9,-12,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_12-59-09,09-27-2022_13-01-11,WEAKENING - PRIORITY - RUNAWAY,TRUE,weakening,4,experiments/config/bound_run/randomized_config/config_14.ini,,-8,72,5.457286432,0.457286432,0.236744596,0.251522248,1086,-19,16,3.879396985,0.641261012,772,0.878005608,9.336683417,4.336683417,0.89278326,-27,0.30552381,0.873047619,34.99509109,3.829890494,0,1.869040939,39.24985972,9.016886026,0,1.949664213,40.94294846,21,21,0,100,60,28,29,1,8,9,3,4,10,-14,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_13-05-16,09-27-2022_13-07-17,WEAKENING - PRIORITY - RUNAWAY,TRUE,weakening,5,experiments/config/bound_run/randomized_config/config_15.ini,,-9,71,6.703517588,1.703517588,0.257253522,0.367681499,1334,-22,19,5.40201005,0.682698413,1075,0.939951935,12.10552764,7.105527638,1.050379912,-31,0.3291875,0.89475,36.79100307,5.270097815,0,2.410842131,38.5734741,12.33050284,0,2.708222801,43.33156482,16,16,0,100,59,27,27,1,8,9,2,4,4,-15,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_13-10-40,09-27-2022_13-12-40,WEAKENING - PRIORITY - RUNAWAY,TRUE,weakening,6,experiments/config/bound_run/randomized_config/config_16.ini,,-5,77,13.48743719,8.48743719,0.368894852,1,2684,-5,12,2.683417085,0.608712823,534,0.977607675,16.17085428,11.17085428,1.608712823,-10,0.293909091,0.862454545,34.07821229,3.698575666,0.434314348,1.624085751,17.86494326,2.67699179,0,0.994618681,10.94080549,11,11,0,100,70,10,13,1,4,9,1,2,5,-10,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_13-22-44,09-27-2022_13-24-50,WEAKENING - PRIORITY - RUNAWAY,TRUE,weakening,7,experiments/config/bound_run/randomized_config/config_17.ini,,-9,32,3.286432161,-1.713567839,0.201019371,0.049180328,654,-28,15,-3.110552764,0.451031888,-619,0.652051259,0.175879397,-4.824120603,0.500212216,-37,0.275351351,0.847243243,32.499681,5.879761861,0,2.737811872,79.39654429,15.89921127,0,5.706192404,165.4795797,37,29,8,78.37837838,48,67,31,2,10,9,4,9,11,19,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_01-13-51,09-26-2022_01-15-50,WEAKENING - PRIORITY - RUNAWAY,TRUE,weakening,8,experiments/config/bound_run/randomized_config/config_18.ini,,-10,37,6.618090452,1.618090452,0.255847668,0.359718969,1317,-38,15,0.165829146,0.540197516,33,0.796045185,6.783919598,1.783919598,0.899916485,-48,0.233076923,0.815153846,28.59299802,5.979919779,0,2.80029702,19.60207914,11.34657996,0,1.730685908,12.11480135,13,7,6,53.84615385,35,70,25,7,12,9,8,11,-5,-15,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_13-28-20,09-27-2022_13-30-24,WEAKENING - PRIORITY - RUNAWAY,TRUE,weakening,9,experiments/config/bound_run/randomized_config/config_19.ini,,-8,54,5.010050251,0.010050251,0.229384538,0.209836065,997,-12,19,5.623115578,0.688715725,1119,0.918100263,10.63316583,5.633165829,0.89855179,-20,0.3557,0.9324,38.14886315,7.418946812,0.947358496,2.788105881,52.97401175,9.564562065,0,3.423506718,65.04662765,20,19,1,95,81,16,24,1,6,9,2,4,0,11,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_13-32-54,09-27-2022_13-34-52,WEAKENING - PRIORITY - RUNAWAY,TRUE,weakening,0,experiments/config/bound_run/randomized_config/config_20.ini,,-10,38,7.201005025,2.201005025,0.265440553,0.414051522,1433,-11,15,3.231155779,0.623619346,643,0.889059899,10.4321608,5.432160804,1.037670868,-21,0.212,0.7951,26.66331279,3.948677713,0,1.355355218,6.776776092,2.769333764,0,0.94802858,4.7401429,10,5,5,50,40,56,32,8,12,9,7,10,18,-12,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_13-37-40,09-27-2022_13-39-36,WEAKENING - PRIORITY - RUNAWAY,TRUE,weakening,1,experiments/config/bound_run/randomized_config/config_21.ini,,-9,76,4.48241206,-0.51758794,0.220701324,0.160655738,892,-4,18,12.28643216,0.870055638,2445,1.090756961,16.76884422,11.76884422,1.030711376,-13,0.268666667,0.834666667,32.1884984,6.52088439,1.014748099,3.098351748,9.295055245,2.336874362,0,0.778958121,2.336874362,3,3,0,100,131,8,45,0,5,9,1,3,-5,-15,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_13-42-39,09-27-2022_13-44-40,WEAKENING - PRIORITY - RUNAWAY,TRUE,weakening,2,experiments/config/bound_run/randomized_config/config_22.ini,,-9,36,10.56281407,5.56281407,0.320765034,0.727400468,2102,-37,17,-1.874371859,0.484674134,-373,0.805439169,8.688442211,3.688442211,1.212074602,-46,0.238952381,0.817714286,29.22198928,5.912805115,0,1.83491383,27.52370746,11.97048187,0,2.744970067,41.174551,21,15,6,71.42857143,22,81,33,6,14,9,10,11,-2,3,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_14-20-05,09-27-2022_14-22-04,WEAKENING - PRIORITY - RUNAWAY,TRUE,weakening,3,experiments/config/bound_run/randomized_config/config_23.ini,,-8,74,13.11557789,8.11557789,0.362775253,0.965339578,2610,-18,17,4.462311558,0.657124836,888,1.019900089,17.57788945,12.57788945,1.622464414,-26,0.45125,1.028,43.8959144,2.804580635,0.067506429,1.465503563,5.86201425,4.435084181,0,1.817497545,7.26999018,4,4,0,100,40,30,28,2,11,9,2,3,-15,-2,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-26-2022_01-57-25,09-26-2022_01-59-31,WEAKENING - PRIORITY - RUNAWAY,TRUE,weakening,4,experiments/config/bound_run/randomized_config/config_24.ini,,-9,50,3.130653266,-1.869346734,0.198455755,0.034660421,623,-22,16,-1.48241206,0.495341188,-295,0.693796943,1.648241206,-3.351758794,0.530001609,-31,0.2507,0.82495,30.38972059,6.054908373,0,2.389048724,59.72621809,14.60095225,0,3.633314968,90.83287421,40,25,15,62.5,55,60,16,2,10,9,5,8,7,-20,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_14-38-08,09-27-2022_14-40-08,WEAKENING - PRIORITY - RUNAWAY,TRUE,weakening,5,experiments/config/bound_run/randomized_config/config_25.ini,,-9,41,7.381909548,2.381909548,0.268417655,0.430913349,1469,-15,17,1.914572864,0.587788987,381,0.856206642,9.296482412,4.296482412,1.018702336,-24,0.295928571,0.868928571,34.0567201,2.949293623,0,1.418699713,14.18699713,4.544729288,0,0.880089106,8.800891058,14,10,4,71.42857143,43,66,38,6,13,9,8,10,6,-18,WEAKENING - PRIORITY - RUNAWAY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_15-37-16,09-27-2022_15-39-19,WEAKENING - PRIORITY - BOUNDARY,TRUE,weakening,6,experiments/config/bound_run/randomized_config/config_26.ini,,-10,49,3.552763819,-1.447236181,0.205402326,0.074004684,707,-19,16,1.683417085,0.58149816,335,0.786900487,5.236180904,0.236180904,0.655502844,-29,0.334782609,0.905434783,36.97478992,6.305667342,0,2.634475738,42.15161181,9.538344753,0,1.428648878,22.85838204,23,16,7,69.56521739,49,47,43,3,10,9,3,8,-5,-13,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_15-42-23,09-27-2022_15-44-29,WEAKENING - PRIORITY - BOUNDARY,TRUE,weakening,7,experiments/config/bound_run/randomized_config/config_27.ini,,-9,57,3.879396985,-1.120603015,0.21077765,0.104449649,772,-23,14,0.693467337,0.554557012,138,0.765334661,4.572864322,-0.427135678,0.659006661,-32,0.365103448,0.932241379,39.16404661,6.228453656,0,3.062482204,73.49957289,15.30588049,0,5.258116083,126.194786,29,24,5,82.75862069,55,44,11,3,7,9,4,6,20,-9,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_15-47-42,09-27-2022_15-49-43,WEAKENING - PRIORITY - BOUNDARY,TRUE,weakening,8,experiments/config/bound_run/randomized_config/config_28.ini,,-9,44,4.673366834,-0.326633166,0.22384382,0.178454332,930,-17,17,2.869346734,0.613772835,571,0.837616656,7.542713568,2.542713568,0.792227167,-26,0.314352941,0.885764706,35.48944083,6.90607672,0.47322842,2.980354351,41.72496091,12.91219853,0,4.007401622,56.10362271,17,14,3,82.35294118,55,46,34,5,8,9,6,7,-7,17,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
09-27-2022_15-52-28,09-27-2022_15-54-27,WEAKENING - PRIORITY - BOUNDARY,TRUE,weakening,9,experiments/config/bound_run/randomized_config/config_29.ini,,-9,39,6.095477387,1.095477387,0.247247151,0.311007026,1213,-21,16,0.688442211,0.554420255,137,0.801667406,6.783919598,1.783919598,0.865427281,-30,0.3155,0.885357143,35.63533683,3.891997942,0,1.220847143,15.87101286,12.44308725,0,3.437450726,44.68685943,14,13,1,92.85714286,36,74,38,4,14,9,9,11,0,-19,WEAKENING - PRIORITY - BOUNDARY,200,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/bound_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/run_original.stl,src/main/java/edu/cmu/px4/mavsdk/case_study/boundary_runaway/main/model/runbound.stl,2,2
